quantifier	sent	category	subject	pos_target
Most	Most lorries are used to transport goods from one point to another.	quasidef	Lorries	1
All	All lorries are used to transport goods from one point to another.	quasidef	Lorries	1
Gen	Insulations are made of a material.	character	Insulations	0
Few	Few insulations are made of a material.	character	Insulations	1
Some	Some insulations are made of a material.	character	Insulations	1
Many	Many insulations are made of a material.	character	Insulations	1
Most	Most insulations are made of a material.	character	Insulations	1
All	All insulations are made of a material.	character	Insulations	1
Gen	Ice creams have a thick, creamy consistency.	quasidef	Ice creams	1
Few	Few ice creams have a thick, creamy consistency.	quasidef	Ice creams	2
Some	Some ice creams have a thick, creamy consistency.	quasidef	Ice creams	2
Many	Many ice creams have a thick, creamy consistency.	quasidef	Ice creams	2
Most	Most ice creams have a thick, creamy consistency.	quasidef	Ice creams	2
All	All ice creams have a thick, creamy consistency.	quasidef	Ice creams	2
Gen	Hotel rooms are equipped with a microwave.	character	Hotel rooms	1
Few	Few hotel rooms are equipped with a microwave.	character	Hotel rooms	2
Some	Some hotel rooms are equipped with a microwave.	character	Hotel rooms	2
Many	Many hotel rooms are equipped with a microwave.	character	Hotel rooms	2
Most	Most hotel rooms are equipped with a microwave.	character	Hotel rooms	2
All	All hotel rooms are equipped with a microwave.	character	Hotel rooms	2
Gen	Guns are used in self defense.	invirtue	Guns	0
Few	Few guns are used in self defense.	invirtue	Guns	1
Some	Some guns are used in self defense.	invirtue	Guns	1
Many	Many guns are used in self defense.	invirtue	Guns	1
Most	Most guns are used in self defense.	invirtue	Guns	1
All	All guns are used in self defense.	invirtue	Guns	1
Gen	Detergents have a strong scent.	character	Detergents	0
Few	Few detergents have a strong scent.	character	Detergents	1
Some	Some detergents have a strong scent.	character	Detergents	1
Many	Many detergents have a strong scent.	character	Detergents	1
Most	Most detergents have a strong scent.	character	Detergents	1
All	All detergents have a strong scent.	character	Detergents	1
Gen	Crucifixions have been carried out in public places.	character	Crucifixions	0
Few	Few crucifixions have been carried out in public places.	character	Crucifixions	1
Some	Some crucifixions have been carried out in public places.	character	Crucifixions	1
Many	Many crucifixions have been carried out in public places.	character	Crucifixions	1
Most	Most crucifixions have been carried out in public places.	character	Crucifixions	1
All	All crucifixions have been carried out in public places.	character	Crucifixions	1
Gen	Compressions should only be performed by trained medical personnel.	character	Compressions	0
Few	Few compressions should only be performed by trained medical personnel.	character	Compressions	1
Some	Some compressions should only be performed by trained medical personnel.	character	Compressions	1
Many	Many compressions should only be performed by trained medical personnel.	character	Compressions	1
Most	Most compressions should only be performed by trained medical personnel.	character	Compressions	1
All	All compressions should only be performed by trained medical personnel.	character	Compressions	1
Gen	Comets may have a tail.	character	Comets	0
Few	Few comets may have a tail.	character	Comets	1
Some	Some comets may have a tail.	character	Comets	1
Many	Many comets may have a tail.	character	Comets	1
Most	Most comets may have a tail.	character	Comets	1
All	All comets may have a tail.	character	Comets	1
Gen	Clocks are synchronized to the second.	character	Clocks	0
Few	Few clocks are synchronized to the second.	character	Clocks	1
Some	Some clocks are synchronized to the second.	character	Clocks	1
Many	Many clocks are synchronized to the second.	character	Clocks	1
Most	Most clocks are synchronized to the second.	character	Clocks	1
All	All clocks are synchronized to the second.	character	Clocks	1
Gen	Cameras are used to take photos of people.	quasidef	Cameras	0
Few	Few cameras are used to take photos of people.	quasidef	Cameras	1
Some	Some cameras are used to take photos of people.	quasidef	Cameras	1
Many	Many cameras are used to take photos of people.	quasidef	Cameras	1
Most	Most cameras are used to take photos of people.	quasidef	Cameras	1
All	All cameras are used to take photos of people.	quasidef	Cameras	1
Gen	Bumpers are made of metal.	invirtue	Bumpers	0
Few	Few bumpers are made of metal.	invirtue	Bumpers	1
Some	Some bumpers are made of metal.	invirtue	Bumpers	1
Many	Many bumpers are made of metal.	invirtue	Bumpers	1
Most	Most bumpers are made of metal.	invirtue	Bumpers	1
All	All bumpers are made of metal.	invirtue	Bumpers	1
Gen	Bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	0
Few	Few bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	1
Some	Some bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	1
Many	Many bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	1
Most	Most bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	1
All	All bulldozers are used to clear land to make way for new housing.	invirtue	Bulldozers	1
Gen	Bleaches may be used to whiten the teeth.	character	Bleaches	0
Few	Few bleaches may be used to whiten the teeth.	character	Bleaches	1
Some	Some bleaches may be used to whiten the teeth.	character	Bleaches	1
Many	Many bleaches may be used to whiten the teeth.	character	Bleaches	1
Most	Most bleaches may be used to whiten the teeth.	character	Bleaches	1
All	All bleaches may be used to whiten the teeth.	character	Bleaches	1
Gen	Baboons should be left alone in the wild.	quasidef	Baboons	0
Few	Few baboons should be left alone in the wild.	quasidef	Baboons	1
Some	Some baboons should be left alone in the wild.	quasidef	Baboons	1
Many	Many baboons should be left alone in the wild.	quasidef	Baboons	1
Most	Most baboons should be left alone in the wild.	quasidef	Baboons	1
All	All baboons should be left alone in the wild.	quasidef	Baboons	1
Gen	Air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	1
Few	Few air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	2
Some	Some air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	2
Many	Many air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	2
Most	Most air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	2
All	All air pollutions are caused by burning fossil fuels.	quasidef	Air pollutions	2
Gen	Wild turkeys may be killed for their feathers.	character	Wild turkeys	1
Few	Few wild turkeys may be killed for their feathers.	character	Wild turkeys	2
Some	Some wild turkeys may be killed for their feathers.	character	Wild turkeys	2
Many	Many wild turkeys may be killed for their feathers.	character	Wild turkeys	2
Most	Most wild turkeys may be killed for their feathers.	character	Wild turkeys	2
All	All wild turkeys may be killed for their feathers.	character	Wild turkeys	2
Gen	Wild pigs are a nuisance.	character	Wild pigs	1
Few	Few wild pigs are a nuisance.	character	Wild pigs	2
Some	Some wild pigs are a nuisance.	character	Wild pigs	2
Many	Many wild pigs are a nuisance.	character	Wild pigs	2
Most	Most wild pigs are a nuisance.	character	Wild pigs	2
All	All wild pigs are a nuisance.	character	Wild pigs	2
Gen	Water heaters can be used to heat water in the kitchen.	character	Water heaters	1
Few	Few water heaters can be used to heat water in the kitchen.	character	Water heaters	2
Some	Some water heaters can be used to heat water in the kitchen.	character	Water heaters	2
Many	Many water heaters can be used to heat water in the kitchen.	character	Water heaters	2
Most	Most water heaters can be used to heat water in the kitchen.	character	Water heaters	2
All	All water heaters can be used to heat water in the kitchen.	character	Water heaters	2
Gen	Water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	1
Few	Few water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	2
Some	Some water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	2
Many	Many water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	2
Most	Most water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	2
All	All water heaters are used to heat water to a certain temperature.	invirtue	Water heaters	2
Gen	Water heaters are used to heat water in the kitchen.	invirtue	Water heaters	1
Few	Few water heaters are used to heat water in the kitchen.	invirtue	Water heaters	2
Some	Some water heaters are used to heat water in the kitchen.	invirtue	Water heaters	2
Many	Many water heaters are used to heat water in the kitchen.	invirtue	Water heaters	2
Most	Most water heaters are used to heat water in the kitchen.	invirtue	Water heaters	2
All	All water heaters are used to heat water in the kitchen.	invirtue	Water heaters	2
Gen	Water heaters are equipped with a thermostat.	character	Water heaters	1
Few	Few water heaters are equipped with a thermostat.	character	Water heaters	2
Some	Some water heaters are equipped with a thermostat.	character	Water heaters	2
Many	Many water heaters are equipped with a thermostat.	character	Water heaters	2
Most	Most water heaters are equipped with a thermostat.	character	Water heaters	2
All	All water heaters are equipped with a thermostat.	character	Water heaters	2
Gen	Wall fans have a fan blade attached to them.	quasidef	Wall fans	1
Few	Few wall fans have a fan blade attached to them.	quasidef	Wall fans	2
Some	Some wall fans have a fan blade attached to them.	quasidef	Wall fans	2
Many	Many wall fans have a fan blade attached to them.	quasidef	Wall fans	2
Most	Most wall fans have a fan blade attached to them.	quasidef	Wall fans	2
All	All wall fans have a fan blade attached to them.	quasidef	Wall fans	2
Gen	Swamps may have many different types of plants.	invirtue	Swamps	0
Few	Few swamps may have many different types of plants.	invirtue	Swamps	1
Some	Some swamps may have many different types of plants.	invirtue	Swamps	1
Many	Many swamps may have many different types of plants.	invirtue	Swamps	1
Most	Most swamps may have many different types of plants.	invirtue	Swamps	1
All	All swamps may have many different types of plants.	invirtue	Swamps	1
Gen	Strawberries have a sweet flavor.	character	Strawberries	0
Few	Few strawberries have a sweet flavor.	character	Strawberries	1
Some	Some strawberries have a sweet flavor.	character	Strawberries	1
Many	Many strawberries have a sweet flavor.	character	Strawberries	1
Most	Most strawberries have a sweet flavor.	character	Strawberries	1
All	All strawberries have a sweet flavor.	character	Strawberries	1
Gen	Stairs are used to ascend.	invirtue	Stairs	0
Few	Few stairs are used to ascend.	invirtue	Stairs	1
Some	Some stairs are used to ascend.	invirtue	Stairs	1
Many	Many stairs are used to ascend.	invirtue	Stairs	1
Most	Most stairs are used to ascend.	invirtue	Stairs	1
All	All stairs are used to ascend.	invirtue	Stairs	1
Gen	Spider mites can be controlled.	character	Spider mites	1
Few	Few spider mites can be controlled.	character	Spider mites	2
Some	Some spider mites can be controlled.	character	Spider mites	2
Many	Many spider mites can be controlled.	character	Spider mites	2
Most	Most spider mites can be controlled.	character	Spider mites	2
All	All spider mites can be controlled.	character	Spider mites	2
Gen	Sparrows can be found in open areas.	character	Sparrows	0
Few	Few sparrows can be found in open areas.	character	Sparrows	1
Some	Some sparrows can be found in open areas.	character	Sparrows	1
Many	Many sparrows can be found in open areas.	character	Sparrows	1
Most	Most sparrows can be found in open areas.	character	Sparrows	1
All	All sparrows can be found in open areas.	character	Sparrows	1
Gen	Slates may be placed on the floor, table, counter, etc.	character	Slates	0
Few	Few slates may be placed on the floor, table, counter, etc.	character	Slates	1
Some	Some slates may be placed on the floor, table, counter, etc.	character	Slates	1
Many	Many slates may be placed on the floor, table, counter, etc.	character	Slates	1
Most	Most slates may be placed on the floor, table, counter, etc.	character	Slates	1
All	All slates may be placed on the floor, table, counter, etc.	character	Slates	1
Gen	Skunks produce an odor.	quasidef	Skunks	0
Few	Few skunks produce an odor.	quasidef	Skunks	1
Some	Some skunks produce an odor.	quasidef	Skunks	1
Many	Many skunks produce an odor.	quasidef	Skunks	1
Most	Most skunks produce an odor.	quasidef	Skunks	1
All	All skunks produce an odor.	quasidef	Skunks	1
Gen	Sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	1
Few	Few sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	2
Some	Some sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	2
Many	Many sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	2
Most	Most sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	2
All	All sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	2
Gen	Scenes may be set in the past, present, future.	invirtue	Scenes	0
Few	Few scenes may be set in the past, present, future.	invirtue	Scenes	1
Some	Some scenes may be set in the past, present, future.	invirtue	Scenes	1
Many	Many scenes may be set in the past, present, future.	invirtue	Scenes	1
Most	Most scenes may be set in the past, present, future.	invirtue	Scenes	1
All	All scenes may be set in the past, present, future.	invirtue	Scenes	1
Gen	Scenes are shot with a camera.	invirtue	Scenes	0
Few	Few scenes are shot with a camera.	invirtue	Scenes	1
Some	Some scenes are shot with a camera.	invirtue	Scenes	1
Many	Many scenes are shot with a camera.	invirtue	Scenes	1
Most	Most scenes are shot with a camera.	invirtue	Scenes	1
All	All scenes are shot with a camera.	invirtue	Scenes	1
Gen	Remote controls may have buttons, switches, or dials.	quasidef	Remote controls	1
Few	Few remote controls may have buttons, switches, or dials.	quasidef	Remote controls	2
Some	Some remote controls may have buttons, switches, or dials.	quasidef	Remote controls	2
Many	Many remote controls may have buttons, switches, or dials.	quasidef	Remote controls	2
Most	Most remote controls may have buttons, switches, or dials.	quasidef	Remote controls	2
All	All remote controls may have buttons, switches, or dials.	quasidef	Remote controls	2
Gen	Radiators are designed to dissipate heat away from the system.	quasidef	Radiators	0
Few	Few radiators are designed to dissipate heat away from the system.	quasidef	Radiators	1
Some	Some radiators are designed to dissipate heat away from the system.	quasidef	Radiators	1
Many	Many radiators are designed to dissipate heat away from the system.	quasidef	Radiators	1
Most	Most radiators are designed to dissipate heat away from the system.	quasidef	Radiators	1
All	All radiators are designed to dissipate heat away from the system.	quasidef	Radiators	1
Gen	Quakes produce seismic waves.	quasidef	Quakes	0
Few	Few quakes produce seismic waves.	quasidef	Quakes	1
Some	Some quakes produce seismic waves.	quasidef	Quakes	1
Many	Many quakes produce seismic waves.	quasidef	Quakes	1
Most	Most quakes produce seismic waves.	quasidef	Quakes	1
All	All quakes produce seismic waves.	quasidef	Quakes	1
Gen	Pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	1
Few	Few pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	2
Some	Some pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	2
Many	Many pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	2
Most	Most pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	2
All	All pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	2
Gen	Pressure cookers may be set to high.	character	Pressure cookers	1
Few	Few pressure cookers may be set to high.	character	Pressure cookers	2
Some	Some pressure cookers may be set to high.	character	Pressure cookers	2
Many	Many pressure cookers may be set to high.	character	Pressure cookers	2
Most	Most pressure cookers may be set to high.	character	Pressure cookers	2
All	All pressure cookers may be set to high.	character	Pressure cookers	2
Gen	Pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	1
Few	Few pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	2
Some	Some pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	2
Many	Many pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	2
Most	Most pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	2
All	All pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	2
Gen	Pressure cookers are used for cooking.	quasidef	Pressure cookers	1
Few	Few pressure cookers are used for cooking.	quasidef	Pressure cookers	2
Some	Some pressure cookers are used for cooking.	quasidef	Pressure cookers	2
Many	Many pressure cookers are used for cooking.	quasidef	Pressure cookers	2
Most	Most pressure cookers are used for cooking.	quasidef	Pressure cookers	2
All	All pressure cookers are used for cooking.	quasidef	Pressure cookers	2
Gen	Platelets may be isolated from the blood.	character	Platelets	0
Few	Few platelets may be isolated from the blood.	character	Platelets	1
Some	Some platelets may be isolated from the blood.	character	Platelets	1
Many	Many platelets may be isolated from the blood.	character	Platelets	1
Most	Most platelets may be isolated from the blood.	character	Platelets	1
All	All platelets may be isolated from the blood.	character	Platelets	1
Gen	Pecans may have to be peeled before eating them.	invirtue	Pecans	0
Few	Few pecans may have to be peeled before eating them.	invirtue	Pecans	1
Some	Some pecans may have to be peeled before eating them.	invirtue	Pecans	1
Many	Many pecans may have to be peeled before eating them.	invirtue	Pecans	1
Most	Most pecans may have to be peeled before eating them.	invirtue	Pecans	1
All	All pecans may have to be peeled before eating them.	invirtue	Pecans	1
Gen	Pecans may be purchased from a local grocery.	character	Pecans	0
Few	Few pecans may be purchased from a local grocery.	character	Pecans	1
Some	Some pecans may be purchased from a local grocery.	character	Pecans	1
Many	Many pecans may be purchased from a local grocery.	character	Pecans	1
Most	Most pecans may be purchased from a local grocery.	character	Pecans	1
All	All pecans may be purchased from a local grocery.	character	Pecans	1
Gen	Pecans can be used to make a sweet, nutty dessert.	character	Pecans	0
Few	Few pecans can be used to make a sweet, nutty dessert.	character	Pecans	1
Some	Some pecans can be used to make a sweet, nutty dessert.	character	Pecans	1
Many	Many pecans can be used to make a sweet, nutty dessert.	character	Pecans	1
Most	Most pecans can be used to make a sweet, nutty dessert.	character	Pecans	1
All	All pecans can be used to make a sweet, nutty dessert.	character	Pecans	1
Gen	Pecans can be removed from their shells with a knife.	character	Pecans	0
Few	Few pecans can be removed from their shells with a knife.	character	Pecans	1
Some	Some pecans can be removed from their shells with a knife.	character	Pecans	1
Many	Many pecans can be removed from their shells with a knife.	character	Pecans	1
Most	Most pecans can be removed from their shells with a knife.	character	Pecans	1
All	All pecans can be removed from their shells with a knife.	character	Pecans	1
Gen	Paper clips are used to hold paper in place.	invirtue	Paper clips	1
Few	Few paper clips are used to hold paper in place.	invirtue	Paper clips	2
Some	Some paper clips are used to hold paper in place.	invirtue	Paper clips	2
Many	Many paper clips are used to hold paper in place.	invirtue	Paper clips	2
Most	Most paper clips are used to hold paper in place.	invirtue	Paper clips	2
All	All paper clips are used to hold paper in place.	invirtue	Paper clips	2
Gen	Owls should be left alone.	character	Owls	0
Few	Few owls should be left alone.	character	Owls	1
Some	Some owls should be left alone.	character	Owls	1
Many	Many owls should be left alone.	character	Owls	1
Most	Most owls should be left alone.	character	Owls	1
All	All owls should be left alone.	character	Owls	1
Gen	Music groups are able to get their music played on the radio.	invirtue	Music groups	1
Few	Few music groups are able to get their music played on the radio.	invirtue	Music groups	2
Some	Some music groups are able to get their music played on the radio.	invirtue	Music groups	2
Many	Many music groups are able to get their music played on the radio.	invirtue	Music groups	2
Most	Most music groups are able to get their music played on the radio.	invirtue	Music groups	2
All	All music groups are able to get their music played on the radio.	invirtue	Music groups	2
Gen	Mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	1
Few	Few mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	2
Some	Some mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	2
Many	Many mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	2
Most	Most mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	2
All	All mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	2
Gen	Mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	1
Few	Few mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	2
Some	Some mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	2
Many	Many mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	2
Most	Most mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	2
All	All mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	2
Gen	Managements are looking for ways to reduce costs.	character	Managements	0
Few	Few managements are looking for ways to reduce costs.	character	Managements	1
Some	Some managements are looking for ways to reduce costs.	character	Managements	1
Many	Many managements are looking for ways to reduce costs.	character	Managements	1
Most	Most managements are looking for ways to reduce costs.	character	Managements	1
All	All managements are looking for ways to reduce costs.	character	Managements	1
Gen	Lightnings are associated with thunder.	quasidef	Lightnings	0
Few	Few lightnings are associated with thunder.	quasidef	Lightnings	1
Some	Some lightnings are associated with thunder.	quasidef	Lightnings	1
Many	Many lightnings are associated with thunder.	quasidef	Lightnings	1
Most	Most lightnings are associated with thunder.	quasidef	Lightnings	1
All	All lightnings are associated with thunder.	quasidef	Lightnings	1
Gen	License plates are issued to vehicles.	quasidef	License plates	1
Few	Few license plates are issued to vehicles.	quasidef	License plates	2
Some	Some license plates are issued to vehicles.	quasidef	License plates	2
Many	Many license plates are issued to vehicles.	quasidef	License plates	2
Most	Most license plates are issued to vehicles.	quasidef	License plates	2
All	All license plates are issued to vehicles.	quasidef	License plates	2
Gen	Ladles can be found in the kitchen.	invirtue	Ladles	0
Few	Few ladles can be found in the kitchen.	invirtue	Ladles	1
Some	Some ladles can be found in the kitchen.	invirtue	Ladles	1
Many	Many ladles can be found in the kitchen.	invirtue	Ladles	1
Most	Most ladles can be found in the kitchen.	invirtue	Ladles	1
All	All ladles can be found in the kitchen.	invirtue	Ladles	1
Gen	Lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	1
Few	Few lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	2
Some	Some lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	2
Many	Many lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	2
Most	Most lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	2
All	All lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	2
Gen	Insulations are used to insulate a building.	quasidef	Insulations	0
Few	Few insulations are used to insulate a building.	quasidef	Insulations	1
Some	Some insulations are used to insulate a building.	quasidef	Insulations	1
Many	Many insulations are used to insulate a building.	quasidef	Insulations	1
Most	Most insulations are used to insulate a building.	quasidef	Insulations	1
All	All insulations are used to insulate a building.	quasidef	Insulations	1
Gen	Ice creams may have a higher fat content than other desserts.	character	Ice creams	1
Few	Few ice creams may have a higher fat content than other desserts.	character	Ice creams	2
Some	Some ice creams may have a higher fat content than other desserts.	character	Ice creams	2
Many	Many ice creams may have a higher fat content than other desserts.	character	Ice creams	2
Most	Most ice creams may have a higher fat content than other desserts.	character	Ice creams	2
All	All ice creams may have a higher fat content than other desserts.	character	Ice creams	2
Gen	Ice creams are sweetened with sugar.	invirtue	Ice creams	1
Few	Few ice creams are sweetened with sugar.	invirtue	Ice creams	2
Some	Some ice creams are sweetened with sugar.	invirtue	Ice creams	2
Many	Many ice creams are sweetened with sugar.	invirtue	Ice creams	2
Most	Most ice creams are sweetened with sugar.	invirtue	Ice creams	2
All	All ice creams are sweetened with sugar.	invirtue	Ice creams	2
Gen	Human embryos are fertilized by sperm from the father.	quasidef	Human embryos	1
Few	Few human embryos are fertilized by sperm from the father.	quasidef	Human embryos	2
Some	Some human embryos are fertilized by sperm from the father.	quasidef	Human embryos	2
Many	Many human embryos are fertilized by sperm from the father.	quasidef	Human embryos	2
Most	Most human embryos are fertilized by sperm from the father.	quasidef	Human embryos	2
All	All human embryos are fertilized by sperm from the father.	quasidef	Human embryos	2
Gen	Hotel rooms have at least two beds.	character	Hotel rooms	1
Few	Few hotel rooms have at least two beds.	character	Hotel rooms	2
Some	Some hotel rooms have at least two beds.	character	Hotel rooms	2
Many	Many hotel rooms have at least two beds.	character	Hotel rooms	2
Most	Most hotel rooms have at least two beds.	character	Hotel rooms	2
All	All hotel rooms have at least two beds.	character	Hotel rooms	2
Gen	Horses can be trained to do almost anything.	character	Horses	0
Few	Few horses can be trained to do almost anything.	character	Horses	1
Some	Some horses can be trained to do almost anything.	character	Horses	1
Many	Many horses can be trained to do almost anything.	character	Horses	1
Most	Most horses can be trained to do almost anything.	character	Horses	1
All	All horses can be trained to do almost anything.	character	Horses	1
Gen	Horses are bred to be ridden.	quasidef	Horses	0
Few	Few horses are bred to be ridden.	quasidef	Horses	1
Some	Some horses are bred to be ridden.	quasidef	Horses	1
Many	Many horses are bred to be ridden.	quasidef	Horses	1
Most	Most horses are bred to be ridden.	quasidef	Horses	1
All	All horses are bred to be ridden.	quasidef	Horses	1
Gen	Hoes have been used to plow fields.	quasidef	Hoes	0
Few	Few hoes have been used to plow fields.	quasidef	Hoes	1
Some	Some hoes have been used to plow fields.	quasidef	Hoes	1
Many	Many hoes have been used to plow fields.	quasidef	Hoes	1
Most	Most hoes have been used to plow fields.	quasidef	Hoes	1
All	All hoes have been used to plow fields.	quasidef	Hoes	1
Gen	Hoes are used to plow fields or clear snow.	quasidef	Hoes	0
Few	Few hoes are used to plow fields or clear snow.	quasidef	Hoes	1
Some	Some hoes are used to plow fields or clear snow.	quasidef	Hoes	1
