Tank tops are a great way to keep cool.	quasidef	Tank tops
Suitcases are used to transport goods from one location to another.	quasidef	Suitcases
Strawberries have a mild flavor.	character	Strawberries
Stocks can be expected to go up.	character	Stocks
Stimulants are used to treat adhd.	invirtue	Stimulants
Shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes
Screws are used to fasten two pieces of metal together.	invirtue	Screws
Scenes have to be shot in a certain way.	character	Scenes
Sand dollars have been known to be found on the beaches.	quasidef	Sand dollars
Routers should be configured.	quasidef	Routers
Riverbanks may be used for recreational purposes.	character	Riverbanks
Registers are used to keep track of the state.	character	Registers
Raccoons can be found in the wild.	quasidef	Raccoons
Quakes should be reported to the usgs earthquake hazards program.	character	Quakes
Pressure cookers may have a higher pressure.	quasidef	Pressure cookers
Pressure cookers have a maximum temperature.	character	Pressure cookers
Pressure cookers can be set to high or low temperatures.	character	Pressure cookers
Porpoises have the ability to swim.	quasidef	Porpoises
Planes have to fly at a certain altitude.	character	Planes
Perfumes may have a very strong smell.	invirtue	Perfumes
Pecans produce a nutty, earthy flavor.	quasidef	Pecans
Pecans may be eaten fresh, dried or roasted.	invirtue	Pecans
Newspapers are owned by the people who buy them.	character	Newspapers
Musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes
Molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs
Molluscs may be distinguished from other animals.	character	Molluscs
Mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers
Mango trees are grown for their fruit.	invirtue	Mango trees
Mandibles are used to hold the teeth.	quasidef	Mandibles
Mandibles are made of bone.	character	Mandibles
Managements may have the right to terminate an employment relationship with an employee.	character	Managements
Lorries should only be used to transport people or goods.	character	Lorries
Lorries are used to move goods from one place to another.	character	Lorries
Lorries are used to carry goods.	quasidef	Lorries
Ladles are used for cooking.	quasidef	Ladles
Lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances
Ice creams may be made with milk or cream.	quasidef	Ice creams
Hoes are used for plowing, sowing.	quasidef	Hoes
Hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus
Guns may be used to kill.	invirtue	Guns
Grizzly bears have a diet.	invirtue	Grizzly bears
Green vegetables can be eaten raw or cooked.	quasidef	Green vegetables
Front yards are private property.	quasidef	Front yards
Experimental evidences should be treated with caution.	quasidef	Experimental evidences
Experimental evidences may have to be interpreted with caution.	character	Experimental evidences
Expeditions are organized by a group leader.	invirtue	Expeditions
Evergreen trees can be planted.	character	Evergreen trees
Events have an effect on the world.	character	Events
Dvd players are used for watching movies.	quasidef	Dvd players
Detergents should be rinsed off after use.	quasidef	Detergents
Decanters may have a maximum capacity.	quasidef	Decanters
Cushions are made of a material.	quasidef	Cushions
Cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels
Crabapples can be eaten raw or cooked.	invirtue	Crabapples
Coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes
Cough syrups have a sweet taste.	character	Cough syrups
Cookers may be used to boil water or to boil pasta.	character	Cookers
Cookbooks are written for people who cook.	quasidef	Cookbooks
Concert halls should be equipped with a soundproofing system.	character	Concert halls
Concert halls have their own sound systems, which can be quite expensive.	character	Concert halls
Coasters may have a maximum speed limit.	character	Coasters
Clocks have to be synchronized.	character	Clocks
Chapels are open to the public during regular hours.	character	Chapels
Camps are set up to provide a safe, secure place to sleep.	quasidef	Camps
Cameras have a maximum shutter speed.	quasidef	Cameras
Cameras are used to capture the world around us.	quasidef	Cameras
Cakes can be purchased.	character	Cakes
Bulldozers are used for construction.	quasidef	Bulldozers
Bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers
Backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes
Baboons have been known to use their teeth.	character	Baboons
Assets are valued based on their current market value.	quasidef	Assets
Assets are valued at their fair market values.	quasidef	Assets
Amino acids produce structural changes in proteins.	quasidef	Amino acids
Alligators are found in Florida.	quasidef	Alligators
Advertisements should focus on the product.	quasidef	Advertisements
Frogs are smaller than most birds.	character	Frogs
Frogs are an important part of the ecosystem.	character	Frogs
Fabric softeners can be used for softening.	quasidef	Fabric softeners
Fabric softeners can be considered to be a chemical.	character	Fabric softeners
Daffodils are a great way to brighten up your garden.	character	Daffodils
Coincidences are everywhere in life.	character	Coincidences
Chimpanzees have been shown to be able to use tools.	character	Chimpanzees
Chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees
Cameras should be able to see.	character	Cameras
Cameras have long been used to capture images.	quasidef	Cameras
Aquatic animals may be able to breathe air.	character	Aquatic animals
Aquatic animals are found in the water.	quasidef	Aquatic animals
Alligators are faster than humans on land.	invirtue	Alligators
