gen_sent	category	subject	masked_sent	few_prob	some_prob	many_prob	most_prob	all_prob
Water heaters are used to heat water in the kitchen.	invirtue	Water heaters	water heaters are used to heat water in the kitchen.means that<mask> water heaters are used to heat water in the kitchen.	1.3160520211386029e-05	0.001474414486438036	0.00026139779947698116	0.0004422353522386402	6.928407674422488e-05
Water heaters are equipped with a thermostat.	character	Water heaters	water heaters are equipped with a thermostat.means that<mask> water heaters are equipped with a thermostat.	1.0244666555081494e-05	0.0005820098449476063	0.00017914465570356697	0.00888055469840765	0.0035753243137151003
Wall fans have a fan blade attached to them.	quasidef	Wall fans	wall fans have a fan blade attached to them.means that<mask> wall fans have a fan blade attached to them.	3.105451469309628e-07	7.966622069943696e-05	1.6631815014989115e-05	0.0013008479727432132	0.0009959765011444688
Swamps may have many different types of plants.	invirtue	Swamps	swamps may have many different types of plants.means that<mask> swamps may have many different types of plants.	4.683611223299522e-06	0.0015512898098677397	0.0002266681258333847	5.5375774536514655e-05	3.6784585972782224e-05
Strawberries have a sweet flavor.	character	Strawberries	strawberries have a sweet flavor.means that<mask> strawberries have a sweet flavor.	0.0002939895784948021	0.0007354974513873458	1.0526485311856959e-05	0.0003740512765944004	0.0002339775674045086
Stairs are used to ascend.	invirtue	Stairs	stairs are used to ascend.means that<mask> stairs are used to ascend.	4.850317623095179e-07	0.0004572599718812853	6.691581074846908e-05	0.00013629192835651338	5.5547472584294155e-05
Spider mites can be controlled.	character	Spider mites	spider mites can be controlled.means that<mask> spider mites can be controlled.	2.4310642402269877e-05	0.0008022788679227233	6.716699863318354e-05	8.186361810658127e-05	0.0002842137182597071
Sparrows can be found in open areas.	character	Sparrows	sparrows can be found in open areas.means that<mask> sparrows can be found in open areas.	1.8244332750327885e-05	0.00017252702673431486	1.1212375284230802e-05	3.799342812271789e-05	7.24073788660462e-06
Slates may be placed on the floor, table, counter, etc.	character	Slates	slates may be placed on the floor, table, counter, etc.means that<mask> slates may be placed on the floor, table, counter, etc.	7.502264907088829e-07	0.0002445137361064553	1.3914571354689542e-05	4.179021925665438e-05	0.0001723242603475228
Skunks produce an odor.	quasidef	Skunks	skunks produce an odor.means that<mask> skunks produce an odor.	7.183203365457302e-07	0.00028907592059113085	1.8745691704680212e-05	5.016621435061097e-05	0.0002846734714694321
Sea snails have a hard shell, which protects them from predators.	quasidef	Sea snails	sea snails have a hard shell, which protects them from predators.means that<mask> sea snails have a hard shell, which protects them from predators.	3.037733767996542e-05	0.0011775186285376549	9.034200775204226e-05	0.002240352565422654	0.0022913755383342505
Scenes may be set in the past, present, future.	invirtue	Scenes	scenes may be set in the past, present, future.means that<mask> scenes may be set in the past, present, future.	1.8603645003167912e-05	0.023738635703921318	0.00017001014202833176	8.942046406446025e-05	0.00017454054614063352
Scenes are shot with a camera.	invirtue	Scenes	scenes are shot with a camera.means that<mask> scenes are shot with a camera.	5.582550511462614e-05	0.001332856365479529	0.0005440673558041453	0.0011867531575262547	0.002675784984603524
Remote controls may have buttons, switches, or dials.	quasidef	Remote controls	remote controls may have buttons, switches, or dials.means that<mask> remote controls may have buttons, switches, or dials.	2.692584359920147e-07	0.007983656600117683	8.726773376110941e-05	0.00039532859227620065	0.0003710791061166674
Radiators are designed to dissipate heat away from the system.	quasidef	Radiators	radiators are designed to dissipate heat away from the system.means that<mask> radiators are designed to dissipate heat away from the system.	1.2941077329742257e-06	3.804219886660576e-05	3.5202997423766647e-06	0.00020807827240787446	2.981891157105565e-05
Quakes produce seismic waves.	quasidef	Quakes	quakes produce seismic waves.means that<mask> quakes produce seismic waves.	2.7207934749640117e-07	0.00035213062074035406	3.420599750825204e-05	0.0008302175556309521	0.0008411289309151471
Pressure cookers may be used in the kitchen.	quasidef	Pressure cookers	pressure cookers may be used in the kitchen.means that<mask> pressure cookers may be used in the kitchen.	1.985393964787363e-06	0.000579524552449584	3.2793715945445e-05	0.0001012489155982621	2.125651008100249e-05
Pressure cookers may be set to high.	character	Pressure cookers	pressure cookers may be set to high.means that<mask> pressure cookers may be set to high.	6.359124427035567e-07	0.0011392685119062662	1.541231722512748e-05	0.000306799920508638	1.680353125266265e-05
Pressure cookers have a maximum temperature range.	invirtue	Pressure cookers	pressure cookers have a maximum temperature range.means that<mask> pressure cookers have a maximum temperature range.	1.781776882125996e-05	0.0005382227245718241	0.00017683916667010635	0.019740473479032516	0.005465121474117041
Pressure cookers are used for cooking.	quasidef	Pressure cookers	pressure cookers are used for cooking.means that<mask> pressure cookers are used for cooking.	2.175428562622983e-06	0.00028928666142746806	7.69346734159626e-05	0.0007167391595430672	0.00011472195183159783
Platelets may be isolated from the blood.	character	Platelets	platelets may be isolated from the blood.means that<mask> platelets may be isolated from the blood.	8.139371857396327e-06	0.00033877926762215793	0.00011148089106427506	7.607224688399583e-05	7.058227765810443e-06
Pecans may have to be peeled before eating them.	invirtue	Pecans	pecans may have to be peeled before eating them.means that<mask> pecans may have to be peeled before eating them.	2.568572926975321e-05	0.001725897891446948	7.300615106942132e-05	7.023377111181617e-05	3.9289214328164235e-05
Pecans may be purchased from a local grocery.	character	Pecans	pecans may be purchased from a local grocery.means that<mask> pecans may be purchased from a local grocery.	1.4175885553413536e-05	0.00018069152429234236	1.9254270227975212e-05	5.074217915534973e-05	8.87922287802212e-05
Pecans can be used to make a sweet, nutty dessert.	character	Pecans	pecans can be used to make a sweet, nutty dessert.means that<mask> pecans can be used to make a sweet, nutty dessert.	2.81490520137595e-06	1.4832821761956438e-05	3.2874896760404226e-07	3.7618842725350987e-06	7.523489102823078e-07
Pecans can be removed from their shells with a knife.	character	Pecans	pecans can be removed from their shells with a knife.means that<mask> pecans can be removed from their shells with a knife.	9.23365860217018e-06	0.00034274416975677013	7.367540092673153e-05	0.00043320024269632995	0.00020908807346131653
Paper clips are used to hold paper in place.	invirtue	Paper clips	paper clips are used to hold paper in place.means that<mask> paper clips are used to hold paper in place.	2.099199718941236e-06	0.000279487605439499	9.976639375963714e-06	3.031446431123186e-05	3.882992314174771e-05
Owls should be left alone.	character	Owls	owls should be left alone.means that<mask> owls should be left alone.	4.0139957491192035e-06	5.497897291206755e-05	3.017014023498632e-06	2.8742433642037213e-06	0.0003951591206714511
Music groups are able to get their music played on the radio.	invirtue	Music groups	music groups are able to get their music played on the radio.means that<mask> music groups are able to get their music played on the radio.	1.2432714356691577e-05	0.007089689839631319	0.0021695918403565884	0.00037799813435412943	0.0009468076750636101
Mud flaps can be affixed to a vehicle to provide additional protection from road debris.	quasidef	Mud flaps	mud flaps can be affixed to a vehicle to provide additional protection from road debris.means that<mask> mud flaps can be affixed to a vehicle to provide additional protection from road debris.	6.586247764062136e-06	0.0001793053379515186	2.517707434890326e-05	2.48004562308779e-05	7.749954238533974e-05
Mesh skimmers have been used to steal credit card information from retailers.	quasidef	Mesh skimmers	mesh skimmers have been used to steal credit card information from retailers.means that<mask> mesh skimmers have been used to steal credit card information from retailers.	3.306492715182685e-07	8.48000927362591e-05	5.779032107966486e-06	1.0609943274175748e-05	4.3461326981741877e-07
Managements are looking for ways to reduce costs.	character	Managements	managements are looking for ways to reduce costs.means that<mask> managements are looking for ways to reduce costs.	4.401163664624619e-07	9.096240682993084e-05	0.00015147689555305988	0.00018267420819029212	0.00030756063642911613
Lightnings are associated with thunder.	quasidef	Lightnings	lightnings are associated with thunder.means that<mask> lightnings are associated with thunder.	4.967127097188495e-06	0.00023959518875926733	2.7975782359135337e-05	9.012629016069695e-05	0.00031744263833388686
License plates are issued to vehicles.	quasidef	License plates	license plates are issued to vehicles.means that<mask> license plates are issued to vehicles.	7.94074765053665e-07	0.00018761158571578562	3.964149800594896e-05	8.348708070116118e-05	0.0002562841400504112
Ladles can be found in the kitchen.	invirtue	Ladles	ladles can be found in the kitchen.means that<mask> ladles can be found in the kitchen.	3.194140299456194e-05	0.00043331587221473455	0.00039917827234603465	0.0005517819081433117	0.00035507557913661003
Lactose intolerances have to be diagnosed by a doctor.	character	Lactose intolerances	lactose intolerances have to be diagnosed by a doctor.means that<mask> lactose intolerances have to be diagnosed by a doctor.	2.4806748115224764e-05	0.0009505331981927156	0.0002310241834493354	0.0012236590264365077	0.017742106691002846
Insulations are used to insulate a building.	quasidef	Insulations	insulations are used to insulate a building.means that<mask> insulations are used to insulate a building.	3.4732511267066e-06	0.0002538815315347165	6.569199467776343e-05	0.00018726308189798146	0.00023990083718672395
Ice creams may have a higher fat content than other desserts.	character	Ice creams	ice creams may have a higher fat content than other desserts.means that<mask> ice creams may have a higher fat content than other desserts.	5.376970875659026e-06	0.0060264235362410545	4.075164724781644e-06	2.5390307200723328e-05	2.00151816898142e-06
Ice creams are sweetened with sugar.	invirtue	Ice creams	ice creams are sweetened with sugar.means that<mask> ice creams are sweetened with sugar.	8.261245966423303e-05	0.004289623815566301	0.000466004537884146	0.0006609189440496266	0.0008609286160208285
Human embryos are fertilized by sperm from the father.	quasidef	Human embryos	human embryos are fertilized by sperm from the father.means that<mask> human embryos are fertilized by sperm from the father.	6.098864560044603e-06	0.00024958635913208127	0.00024567561922594905	0.009573305025696754	0.00372882466763258
Hotel rooms have at least two beds.	character	Hotel rooms	hotel rooms have at least two beds.means that<mask> hotel rooms have at least two beds.	4.027613158541499e-06	0.00023224584583658725	0.00013894721632823348	0.0013780802255496383	0.005881146062165499
Horses can be trained to do almost anything.	character	Horses	horses can be trained to do almost anything.means that<mask> horses can be trained to do almost anything.	1.5365332046712865e-06	0.00019808851357083768	3.5044482501689345e-05	1.4064237802813295e-05	0.00042370602022856474
Horses are bred to be ridden.	quasidef	Horses	horses are bred to be ridden.means that<mask> horses are bred to be ridden.	8.866853931976948e-06	0.0006668268470093608	0.0002765784738585353	0.0005273299757391214	0.013136662542819977
Hoes have been used to plow fields.	quasidef	Hoes	hoes have been used to plow fields.means that<mask> hoes have been used to plow fields.	5.570825123868417e-06	0.00022877300216350704	9.851685172179714e-05	2.1978978111292236e-05	1.7307180314674042e-05
Hoes are used to plow fields or clear snow.	quasidef	Hoes	hoes are used to plow fields or clear snow.means that<mask> hoes are used to plow fields or clear snow.	9.378220056532882e-06	0.00032060773810371757	9.863625018624589e-05	0.0004279887361917645	0.00011341643403284252
Hair gels produce a smooth, shiny surface.	character	Hair gels	hair gels produce a smooth, shiny surface.means that<mask> hair gels produce a smooth, shiny surface.	1.3345222214411478e-05	0.00043848450877703726	1.9032617274206132e-05	0.0003466307243797928	0.00011142809671582654
Hair clips are attached to the head.	quasidef	Hair clips	hair clips are attached to the head.means that<mask> hair clips are attached to the head.	2.9837585771019803e-06	0.0003738722298294306	9.643836528994143e-05	0.00010540996299823746	0.00042330383439548314
Hair clips are attached to the hair.	quasidef	Hair clips	hair clips are attached to the hair.means that<mask> hair clips are attached to the hair.	2.1504044980247272e-06	0.00018280174117535353	3.402317452128045e-05	3.0060418794164434e-05	8.514961518812925e-05
Guns may be used to commit a crime.	quasidef	Guns	guns may be used to commit a crime.means that<mask> guns may be used to commit a crime.	2.3068487280397676e-05	0.006723843514919281	0.0007636815425939858	3.271977402619086e-05	0.00026602306752465665
Guns can be bought.	character	Guns	guns can be bought.means that<mask> guns can be bought.	4.799123780685477e-05	0.0005879740929231048	0.0011524902656674385	8.487251034239307e-05	0.002459946321323514
Family pets are predisposed to certain health issues.	character	Family pets	family pets are predisposed to certain health issues.means that<mask> family pets are predisposed to certain health issues.	1.1275997167103924e-05	0.0053556389175355434	0.001269633648917079	0.006239714100956917	0.0009300139499828219
Dvd players are connected to a television via hdmi.	invirtue	Dvd players	dvd players are connected to a television via hdmi.means that<mask> dvd players are connected to a television via hdmi.	1.7528991591575505e-08	2.1480404029716738e-05	3.733645826287102e-06	0.0002096987736877054	8.605962648289278e-05
Drummers are taught to play with their hands.	character	Drummers	drummers are taught to play with their hands.means that<mask> drummers are taught to play with their hands.	2.225968955826829e-06	0.0003856317780446261	0.0004620155377779156	0.00033832143526524305	0.006011025048792362
Cudgels can be made of metal, wood, or other materials.	invirtue	Cudgels	cudgels can be made of metal, wood, or other materials.means that<mask> cudgels can be made of metal, wood, or other materials.	5.356976089387899e-06	0.0006564825307577848	3.0524890462402254e-05	0.00017602638399694115	0.0009026463376358151
Corrections are given to inmates who have committed serious crimes, including murder.	quasidef	Corrections	corrections are given to inmates who have committed serious crimes, including murder.means that<mask> corrections are given to inmates who have committed serious crimes, including murder.	5.6639320973772556e-05	0.0011129919439554214	0.00012746705033350736	0.00030032661743462086	7.496910257032141e-05
Cold storages are stored in the freezer.	character	Cold storages	cold storages are stored in the freezer.means that<mask> cold storages are stored in the freezer.	0.00019588285067584366	0.0008588155033066869	0.0004249029152560979	0.004701585043221712	0.0021096477285027504
Coincidences may be attributed to chance.	quasidef	Coincidences	coincidences may be attributed to chance.means that<mask> coincidences may be attributed to chance.	0.00013804910122416914	0.005757905542850494	0.0006438129348680377	0.00017966353334486485	0.0006053991965018213
Coasters are made of wood.	character	Coasters	coasters are made of wood.means that<mask> coasters are made of wood.	6.81808273839124e-07	0.00011942475975956768	2.5108653062488884e-05	0.0007236010860651731	0.004319861531257629
Clothes dryers have a thermostat, which controls how hot your clothes get.	invirtue	Clothes	clothes dryers have a thermostat, which controls how hot your clothes get.means that<mask> clothes dryers have a thermostat, which controls how hot your clothes get.	4.5517140279116575e-06	0.0008686581277288496	0.00011711718252627179	0.012052679434418678	0.005271535366773605
Clocks are set to the local timezone.	quasidef	Clocks	clocks are set to the local timezone.means that<mask> clocks are set to the local timezone.	3.992585391188186e-07	0.00041789020178839564	4.6747150918236e-05	0.0011055577779188752	0.005641348194330931
Cakes may have several layers.	character	Cakes	cakes may have several layers.means that<mask> cakes may have several layers.	8.952683856477961e-06	0.03718370944261551	0.00010825906792888418	0.0003765906149055809	3.6692807043436915e-05
Cakes are made with a mix.	character	Cakes	cakes are made with a mix.means that<mask> cakes are made with a mix.	8.17186082713306e-06	0.0004848663229495287	4.125968553125858e-05	0.0003796209639403969	0.001232185517437756
Bulldozers have been used to clear the land.	invirtue	Bulldozers	bulldozers have been used to clear the land.means that<mask> bulldozers have been used to clear the land.	3.571113120415248e-05	0.00013177338405512273	0.00022777781123295426	5.936238721915288e-06	5.824369964102516e-06
Bows may have a string attached.	invirtue	Bows	bows may have a string attached.means that<mask> bows may have a string attached.	3.5853063309332356e-06	0.0024654297158122063	9.492635581409559e-05	0.00017854948237072676	0.00021143414778634906
Bobsleighs are used for the olympic games.	invirtue	Bobsleighs	bobsleighs are used for the olympic games.means that<mask> bobsleighs are used for the olympic games.	1.8867761752972e-07	0.0004970573936589062	1.0570147424004972e-05	2.6502761102165096e-05	0.0005807738052681088
Bleaches may have adverse effects on the skin.	character	Bleaches	bleaches may have adverse effects on the skin.means that<mask> bleaches may have adverse effects on the skin.	6.673701136605814e-05	0.005329854786396027	2.703814607230015e-05	2.1169198589632288e-05	3.9369374462694395e-06
Bay leaves are used to flavor soups, stews, or sauces.	quasidef	Bay leaves	bay leaves are used to flavor soups, stews, or sauces.means that<mask> bay leaves are used to flavor soups, stews, or sauces.	5.725767664443993e-07	1.1329005246807355e-05	3.099203604506329e-05	1.1197018466191366e-05	2.68129429059627e-06
Backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	quasidef	Backhoes	backhoes can be used to dig trenches, but it is also possible to use them to remove debris.means that<mask> backhoes can be used to dig trenches, but it is also possible to use them to remove debris.	2.0077304441201704e-07	6.8966495746281e-05	1.7697371731628664e-05	3.504280175548047e-05	1.2174842595413793e-05
Backhoes can be used to dig a hole.	quasidef	Backhoes	backhoes can be used to dig a hole.means that<mask> backhoes can be used to dig a hole.	1.7733665913510777e-07	0.00014249062223825604	1.0817457223311067e-05	9.420821697858628e-06	3.5490666050463915e-05
Apples are used to make cider, which is an alcoholic beverage.	invirtue	Apples	apples are used to make cider, which is an alcoholic beverage.means that<mask> apples are used to make cider, which is an alcoholic beverage.	8.193779649445787e-06	0.00035190733615309	1.625943332328461e-05	1.270569373446051e-05	2.281078377563972e-05
Ambulances may have to make multiple trips to the scene.	character	Ambulances	ambulances may have to make multiple trips to the scene.means that<mask> ambulances may have to make multiple trips to the scene.	4.136099050811026e-06	0.0011630291119217873	0.0004541670496109873	4.425095903570764e-05	2.329056769667659e-05
Ambulances can only take patients to the nearest hospital.	character	Ambulances	ambulances can only take patients to the nearest hospital.means that<mask> ambulances can only take patients to the nearest hospital.	2.6755285489343805e-06	0.00015771971084177494	0.0001675428356975317	7.814900163793936e-05	3.179607301717624e-05
Abbeys have their own chapel.	quasidef	Abbeys	abbeys have their own chapel.means that<mask> abbeys have their own chapel.	6.3163092818285804e-06	0.0002889512979891151	0.00047132858890108764	0.00016592314932495356	0.0020423198584467173
Stomachs are an important part of the body.	quasidef	Stomachs	stomachs are an important part of the body.means that<mask> stomachs are an important part of the body.	1.2602447441167897e-07	3.001933146151714e-05	2.60519982475671e-06	5.424990376923233e-05	8.608350617578253e-05
Stimulants can be used to treat adhd.	character	Stimulants	stimulants can be used to treat adhd.means that<mask> stimulants can be used to treat adhd.	1.0634332738845842e-06	0.00014170647773426026	3.24248758261092e-05	3.1405197660205886e-06	8.401822924497537e-06
Spaceships can be used to travel through space.	quasidef	Spaceships	spaceships can be used to travel through space.means that<mask> spaceships can be used to travel through space.	1.9088012948031974e-07	0.0002649609523359686	1.9168079234077595e-05	5.614513429463841e-05	0.0002750588464550674
Screws have a tendency to loosen.	character	Screws	screws have a tendency to loosen.means that<mask> screws have a tendency to loosen.	2.188857024520985e-06	0.0005207067006267607	1.5941443507472286e-06	0.0010025386000052094	0.00013227401359472424
Remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/backmeans that<mask> remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	5.22907797062544e-08	4.6408316848101094e-05	1.6690581787770498e-06	1.344146539850044e-06	1.3756599628322874e-06
Pressure cookers are a great way to cook large batches.	character	Pressure cookers	pressure cookers are a great way to cook large batches.means that<mask> pressure cookers are a great way to cook large batches.	2.489229245838942e-06	9.89491818472743e-05	7.1275621849054005e-06	7.827420631656423e-05	1.034517481457442e-05
Pine trees are an important part of the natural environment.	quasidef	Pine trees	pine trees are an important part of the natural environment.means that<mask> pine trees are an important part of the natural environment.	1.963094837265089e-05	0.00020064503769390285	2.1804000425618142e-05	1.4254888810683042e-05	0.00013750727521255612
Inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	inflammatory diseases may have multiple causes.means that<mask> inflammatory diseases may have multiple causes.	1.170225368696265e-05	0.006816748064011335	0.0007109225261956453	8.107125177048147e-05	5.661660907207988e-05
Inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	inflammatory diseases may be caused by an imbalance of the immune system.means that<mask> inflammatory diseases may be caused by an imbalance of the immune system.	2.6758700641948963e-06	0.007190197240561247	0.0006348095485009253	0.000213146791793406	0.0001468975533498451
Zebras may be seen in the wild.	invirtue	Zebras	zebras may be seen in the wild.means that<mask> zebras may be seen in the wild.	4.3784715671790764e-05	0.00016615928325336426	6.292099715210497e-05	7.343385277636116e-06	1.759810038493015e-05
X-rays have been used to diagnose cancer in the past.	character	X-rays	x-rays have been used to diagnose cancer in the past.means that<mask> x-rays have been used to diagnose cancer in the past.	7.207876819848025e-07	0.0001768653601175174	6.195572495926172e-05	9.452396625420079e-06	1.93125906662317e-05
Water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	water parks may be closed due to inclement weather or other unforeseen circumstances.means that<mask> water parks may be closed due to inclement weather or other unforeseen circumstances.	4.117906883038813e-06	0.020955929532647133	0.0004491689905989915	0.00010153397306567058	0.0007113313185982406
Telephone books have lists of people.	quasidef	Telephone books	telephone books have lists of people.means that<mask> telephone books have lists of people.	1.0126695087819826e-05	0.0001921743096318096	0.00014373134763445705	0.0003925978671759367	0.0011700090253725648
Technologies are developed to address specific problems.	quasidef	Technologies	technologies are developed to address specific problems.means that<mask> technologies are developed to address specific problems.	1.026247537083691e-05	0.0003691557503771037	0.0006702334503643215	2.9329125027288683e-05	0.0006223366945050657
Technologies are designed to be used for a specific purpose.	quasidef	Technologies	technologies are designed to be used for a specific purpose.means that<mask> technologies are designed to be used for a specific purpose.	3.574607717382605e-06	0.00301739783026278	0.00043143361108377576	0.0010416536824777722	0.01646007038652897
Tank tops are a great way to keep cool.	quasidef	Tank tops	tank tops are a great way to keep cool.means that<mask> tank tops are a great way to keep cool.	1.4129818737274036e-06	0.0001879892952274531	3.4523454814916477e-06	8.70149779075291e-06	9.063092875294387e-06
Suitcases are used to transport goods from one location to another.	quasidef	Suitcases	suitcases are used to transport goods from one location to another.means that<mask> suitcases are used to transport goods from one location to another.	5.29143699168344e-06	0.0021248955745249987	0.0003525050706230104	0.0003009792126249522	7.109493162715808e-05
